# Rime user dictionary
#@/db_name	wubi86
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	21342
#@/user_id	4a724b77-b474-4a53-8ab8-27f5bbc0adee
fjdg 	进厂	c=1 d=1 t=15381
fje 	朝	c=1 d=1 t=18002
fjfc 	进去	c=11 d=1.0941 t=18791
fjgo 	进来	c=1 d=1 t=4370
fjhh 	坤	c=1 d=1 t=3946
fjhi 	进步	c=2 d=1 t=15434
fjt 	乾	c=1 d=1 t=18154
fjtf 	进行	c=2 d=1 t=21025
fjtn 	乾	c=1 d=1 t=3945
fjwh 	进修	c=1 d=1 t=5369
fk 	吉	c=1 d=1 t=8849
fkcq 	喜欢	c=10 d=1 t=19708
fkf 	吉	c=1 d=1 t=14816
fkiw 	嘉兴	c=9 d=1.0625 t=9691
fkkq 	鼓吹	c=1 d=1 t=7434
fkuk 	嘉	c=2 d=1 t=9596
flbb 	雷子	c=3 d=2.69206 t=20253
flf 	雷	c=6 d=2.50433 t=20252
flyy 	协议	c=1 d=1 t=5814
fm 	南	c=10 d=3.0671 t=20404
fmid 	南湖	c=3 d=1 t=9692
fn 	志	c=5 d=1.99768 t=19743
fndr 	志愿	c=19 d=2.34614 t=19666
fnfh 	志趣	c=1 d=1 t=12278
fnog 	专业	c=17 d=1.12248 t=21121
fnpe 	卖家	c=1 d=1 t=15489
fnqg 	朝发夕至	c=1 d=1 t=3142
fnr 	声	c=3 d=1.46767 t=11568
fnrk 	亏损	c=1 d=1 t=14875
fnrt 	场	c=3 d=1 t=19651
fntq 	声称	c=1 d=1 t=15802
fntu 	专科	c=5 d=1 t=20789
fnud 	卖	c=26 d=1.00004 t=17845
fnuj 	声音	c=3 d=1 t=21164
fnuy 	专门	c=2 d=1 t=8513
fnv 	亏	c=16 d=1 t=16407
fnw 	块	c=36 d=1.60774 t=20546
fny 	专	c=21 d=1.15106 t=19709
fp 	过	c=50 d=1.00717 t=21087
fpfc 	过去	c=9 d=1.00144 t=20077
fpgo 	过来	c=5 d=1 t=16006
fpo 	壶	c=1 d=1 t=6081
fppm 	元宇宙	c=2 d=1.85642 t=19221
fprg 	过后	c=1 d=1 t=17477
fptx 	过敏	c=2 d=1.59156 t=11907
fpud 	过头	c=1 d=1 t=18122
fpwv 	过分	c=3 d=1.00001 t=16569
fpyp 	赵宇豪	c=16 d=3.75075 t=20905
fq 	无	c=30 d=1.07654 t=20894
fqb 	元	c=4 d=1.19495 t=19505
fqbq 	无聊	c=6 d=1.14156 t=17002
fqfd 	无需	c=1 d=1 t=21104
fqft 	元老	c=1 d=1 t=4307
fqif 	无法	c=3 d=2.73868 t=13002
fqnd 	无忧	c=1 d=1 t=4679
fqnt 	无悔	c=1 d=1 t=11538
fqp 	远	c=2 d=1 t=18041
fqpg 	元宝	c=1 d=1 t=9194
fqyg 	无语	c=2 d=1 t=8195
ft 	才	c=18 d=1.07697 t=19701
ftbt 	教	c=12 d=1.98511 t=20987
ftcd 	教参	c=1 d=1 t=4788
ftde 	都有	c=1 d=1 t=20727
ftg 	考	c=36 d=2.07137 t=20732
ftha 	考虑	c=7 d=1.07101 t=19604
ftih 	老婆	c=4 d=1 t=15060
ftj 	者	c=5 d=1.00001 t=20995
ftjb 	都	c=129 d=2.64175 t=21177
ftjg 	老师	c=11 d=2.3184 t=19270
ftpg 	教室	c=1 d=1 t=12135
ftpu 	老实	c=1 d=1 t=11838
ftre 	教授	c=1 d=1 t=12343
ftsf 	教材	c=1 d=1 t=14019
ftsr 	老板	c=4 d=2.79629 t=17203
fttg 	考生	c=3 d=1.17974 t=19712
ftud 	老头	c=1 d=1 t=16423
ftud 	考卷	c=1 d=1 t=9873
ftux 	老弟	c=1 d=0.106649 t=11511
ftvc 	老妈	c=8 d=1 t=16245
ftwc 	老公	c=2 d=1 t=16142
ftwq 	老爸	c=7 d=1.14852 t=15053
ftwx 	才华	c=1 d=1 t=16386
ftx 	老	c=13 d=1 t=18441
ftya 	考试	c=33 d=1.40541 t=20658
ftyc 	教育	c=4 d=0.1 t=16036
fu 	增	c=1 d=1 t=6041
fufe 	垃圾	c=10 d=1.00072 t=18429
fupy 	幸福	c=1 d=1 t=7104
futa 	增长	c=1 d=1 t=576
fuvb 	幸好	c=1 d=1 t=16392
fv 	雪	c=2 d=1.00006 t=4872
fvww 	雪人	c=3 d=0.1 t=4873
fwaj 	规划	c=1 d=1 t=18098
